"dateaccessed";"url";"articleTitle"
"04/08/2022 19:29:49";"https://en.wikipedia.org/wiki/Category:Constantine_the_Great";"Category:Constantine the Great"
"04/08/2022 19:29:53";"https://en.wikipedia.org/wiki/Category:Constantius_II";"Category:Constantius II"
"04/08/2022 19:29:56";"https://en.wikipedia.org/wiki/Category:Diocletian";"Category:Diocletian"
"04/08/2022 19:29:59";"https://en.wikipedia.org/wiki/Category:Galerius";"Category:Galerius"
"04/08/2022 19:30:03";"https://en.wikipedia.org/wiki/Category:Maxentius";"Category:Maxentius"
"04/08/2022 19:30:06";"https://en.wikipedia.org/wiki/Category:Theodosius_I";"Category:Theodosius I"
"04/08/2022 19:30:10";"https://en.wikipedia.org/wiki/Category:4th-century_Roman_usurpers";"Category:4th-century Roman usurpers"
"04/08/2022 19:30:13";"https://en.wikipedia.org/wiki/Category:Valens";"Category:Valens"
"04/08/2022 19:30:21";"https://en.wikipedia.org/wiki/Arcadius";"Arcadius"
"04/08/2022 19:30:24";"https://en.wikipedia.org/wiki/Constans";"Constans"
"04/08/2022 19:30:31";"https://en.wikipedia.org/wiki/Constantine_the_Great";"Constantine the Great"
"04/08/2022 19:30:34";"https://en.wikipedia.org/wiki/Constantine_II_(emperor)";"Constantine II (emperor)"
"04/08/2022 19:30:38";"https://en.wikipedia.org/wiki/Constantius_II";"Constantius II"
"04/08/2022 19:30:43";"https://en.wikipedia.org/wiki/Constantius_Chlorus";"Constantius Chlorus"
"04/08/2022 19:30:48";"https://en.wikipedia.org/wiki/Diocletian";"Diocletian"
"04/08/2022 19:30:52";"https://en.wikipedia.org/wiki/Galerius";"Galerius"
"04/08/2022 19:30:57";"https://en.wikipedia.org/wiki/Gratian";"Gratian"
"04/08/2022 19:31:01";"https://en.wikipedia.org/wiki/Honorius_(emperor)";"Honorius (emperor)"
"04/08/2022 19:31:04";"https://en.wikipedia.org/wiki/Jovian_(emperor)";"Jovian (emperor)"
"04/08/2022 19:31:10";"https://en.wikipedia.org/wiki/Julian_(emperor)";"Julian (emperor)"
"04/08/2022 19:31:13";"https://en.wikipedia.org/wiki/Licinius";"Licinius"
"04/08/2022 19:31:17";"https://en.wikipedia.org/wiki/Martinian_(emperor)";"Martinian (emperor)"
"04/08/2022 19:31:20";"https://en.wikipedia.org/wiki/Maxentius";"Maxentius"
"04/08/2022 19:31:24";"https://en.wikipedia.org/wiki/Maximian";"Maximian"
"04/08/2022 19:31:28";"https://en.wikipedia.org/wiki/Maximinus_Daza";"Maximinus Daza"
"04/08/2022 19:31:32";"https://en.wikipedia.org/wiki/Severus_II";"Severus II"
"04/08/2022 19:31:36";"https://en.wikipedia.org/wiki/Theodosius_I";"Theodosius I"
"04/08/2022 19:31:41";"https://en.wikipedia.org/wiki/Valens";"Valens"
"04/08/2022 19:31:44";"https://en.wikipedia.org/wiki/Valerius_Valens";"Valerius Valens"
"04/08/2022 19:31:48";"https://en.wikipedia.org/wiki/Valentinian_I";"Valentinian I"
"04/08/2022 19:31:52";"https://en.wikipedia.org/wiki/Valentinian_II";"Valentinian II"
"04/08/2022 19:31:55";"https://en.wikipedia.org/wiki/Vetranio";"Vetranio"
