"dateaccessed";"url";"productName";"productPrice"
"18/11/2022 18:51:01";"https://www.amazon.com/b?node=34756548011&ref=dlx_deals_gd_dcl_img_14_da9fcee8_dt_sl15_00";"";""
"18/11/2022 18:51:11";"https://www.amazon.com/dp/B0BCQXXRJJ/ref=s9_acsd_al_bw_c2_x_0_i?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=CDMZ1KGH8F2JEEE9CVX3&pf_rd_t=101&pf_rd_p=8e9b65fd-fdd1-4919-b0e2-074d5bb42c72&pf_rd_i=34756548011";"Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 128GB - Obsidian";""
"18/11/2022 18:51:23";"https://www.amazon.com/dp/B0BCQXXRJJ/ref=s9_acsd_al_bw_c2_x_0_t?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=CDMZ1KGH8F2JEEE9CVX3&pf_rd_t=101&pf_rd_p=8e9b65fd-fdd1-4919-b0e2-074d5bb42c72&pf_rd_i=34756548011";"Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 128GB - Obsidian";""
"18/11/2022 18:51:38";"https://www.amazon.com/dp/B0BCQS263K/ref=s9_acsd_al_bw_c2_x_1_i?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=CDMZ1KGH8F2JEEE9CVX3&pf_rd_t=101&pf_rd_p=8e9b65fd-fdd1-4919-b0e2-074d5bb42c72&pf_rd_i=34756548011";"Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 256GB - Obsidian";""
"18/11/2022 18:51:59";"https://www.amazon.com/dp/B0BCQS263K/ref=s9_acsd_al_bw_c2_x_1_t?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=CDMZ1KGH8F2JEEE9CVX3&pf_rd_t=101&pf_rd_p=8e9b65fd-fdd1-4919-b0e2-074d5bb42c72&pf_rd_i=34756548011";"Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 256GB - Obsidian";""
"18/11/2022 18:52:26";"https://www.amazon.com/dp/B0BCQVRH38/ref=s9_acsd_al_bw_c2_x_2_i?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=CDMZ1KGH8F2JEEE9CVX3&pf_rd_t=101&pf_rd_p=8e9b65fd-fdd1-4919-b0e2-074d5bb42c72&pf_rd_i=34756548011";"Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 128GB - Snow";""
"18/11/2022 18:52:47";"https://www.amazon.com/dp/B0BCQVRH38/ref=s9_acsd_al_bw_c2_x_2_t?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=CDMZ1KGH8F2JEEE9CVX3&pf_rd_t=101&pf_rd_p=8e9b65fd-fdd1-4919-b0e2-074d5bb42c72&pf_rd_i=34756548011";"Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 128GB - Snow";""
"18/11/2022 18:53:14";"https://www.amazon.com/dp/B0BCQWQH52/ref=s9_acsd_al_bw_c2_x_3_i?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=CDMZ1KGH8F2JEEE9CVX3&pf_rd_t=101&pf_rd_p=8e9b65fd-fdd1-4919-b0e2-074d5bb42c72&pf_rd_i=34756548011";"Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 256GB - Snow";""
"18/11/2022 18:53:46";"https://www.amazon.com/dp/B0BCQWQH52/ref=s9_acsd_al_bw_c2_x_3_t?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=CDMZ1KGH8F2JEEE9CVX3&pf_rd_t=101&pf_rd_p=8e9b65fd-fdd1-4919-b0e2-074d5bb42c72&pf_rd_i=34756548011";"Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 256GB - Snow";""
"18/11/2022 18:54:18";"https://www.amazon.com/dp/B0BCQXY52Z/ref=s9_acsd_al_bw_c2_x_4_i?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=CDMZ1KGH8F2JEEE9CVX3&pf_rd_t=101&pf_rd_p=8e9b65fd-fdd1-4919-b0e2-074d5bb42c72&pf_rd_i=34756548011";"Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 128GB - Lemongrass";""
